"set","and precision"," and recall"," or precision"," or recall"," not precision"," not recall"," accuracy"
"Run8",0.85,0.81,0.55,0.6,0.8,0.8,0.75
"Run9",0.95,0.84,0.71,0.83,0.75,0.86,0.84
"Run10",0.9,0.9,0.86,0.8,0.86,1,0.88
"Run11",0.95,0.9,0.85,0.92,1,1,0.92
"Run12",0.9,0.86,0.79,0.85,1,1,0.88
"Run13",0.68,0.83,0.77,0.56,0.83,1,0.73
"Run14",0.77,0.85,0.88,0.67,0.63,1,0.78
"Run15",0.95,0.7,0.44,0.88,1,1,0.78
"Run16",0.5,0.79,0.73,0.5,0.67,0.5,0.6
"Run17",0.75,0.94,0.94,0.75,1,1,0.86
"Run18",0.7,0.8,0.71,0.59,1,1,0.76
"Run19",0.87,0.69,0.6,0.82,0.5,0.67,0.72
"Run20",1,0.64,0.07,1,1,0.8,0.67
"Run21",1,0.91,0.86,1,0.75,0.75,0.92
"Run22",0.83,0.9,0.87,0.72,0.85,0.92,0.84
"Run23",0.95,0.9,0.85,0.85,0.67,1,0.89
"Run24",0.95,0.8,0.55,0.75,0.8,1,0.81
"Run25",0.91,0.8,0.58,0.58,0.67,1,0.77
